test_number,num,cap,refill,K,num_neg,num_pos,sum_neg,sum_pos,total_fun,running_time
0,10000,500,20,100000,4949,5051,12248775,12758826,1777043574,333
1,10000,500,20,100000,5031,4969,12657996,12347965,1764874903,668
2,10000,500,20,100000,4975,5024,12377800,12622800,1767475614,554
3,10000,500,20,100000,4988,5008,12442566,12542536,1753490660,611
4,10000,500,20,100000,5005,4993,12527515,12467521,1771650699,641
5,10000,500,20,100000,4987,5010,12437578,12552555,1765934256,584
6,10000,500,20,100000,4971,5025,12357906,12627825,1764670066,481
7,10000,500,20,100000,5001,4995,12507501,12477510,1766856229,372
8,10000,500,20,100000,4953,5047,12268581,12738628,1766987538,615
9,10000,500,20,100000,5001,4999,12507501,12497500,1759644814,536
10,15000,500,20,100000,7468,7530,27889246,28354215,-1649268734,502
11,15000,500,20,100000,7553,7447,28527681,27732628,-1665175871,742
12,15000,500,20,100000,7447,7550,27732628,28505025,-1645038005,693
13,15000,500,20,100000,7532,7468,28369278,27889246,-1655394638,526
14,15000,500,20,100000,7383,7613,27258036,28982691,-1660621036,544
15,15000,500,20,100000,7473,7523,27926601,28301526,-1647782132,555
16,15000,500,20,100000,7476,7523,27949026,28301526,-1650867506,505
17,15000,500,20,100000,7579,7418,28724410,27517071,-1648062101,777
18,15000,500,20,100000,7632,7367,29127528,27140028,-1658695020,894
19,15000,500,20,100000,7410,7589,27457755,28800255,-1654949801,557
20,20000,500,20,100000,9961,10035,49615741,50355630,-786554945,665
21,20000,500,20,100000,10017,9981,50175153,49815171,-772757955,666
22,20000,500,20,100000,10033,9966,50335561,49665561,-771930412,658
23,20000,500,20,100000,10013,9985,50135091,49855105,-754351493,664
24,20000,500,20,100000,10111,9885,51121216,48861555,-773769045,658
25,20000,500,20,100000,9924,10076,49247850,50767926,-768683298,704
26,20000,500,20,100000,10028,9970,50285406,49705435,-773796186,978
27,20000,500,20,100000,9845,10152,48466935,51536628,-770325044,768
28,20000,500,20,100000,10015,9982,50155120,49825153,-783941045,735
29,20000,500,20,100000,9924,10074,49247850,50747775,-766792480,715
30,25000,500,20,100000,12607,12391,79474528,76774636,99262584,825
31,25000,500,20,100000,12495,12502,78068760,78156253,107400584,827
32,25000,500,20,100000,12541,12458,78644611,77607111,92111521,830
33,25000,500,20,100000,12324,12670,75946650,80270785,102144184,830
34,25000,500,20,100000,12432,12565,77283528,78945895,113915419,824
35,25000,500,20,100000,12358,12638,76366261,79865841,102469097,829
36,25000,500,20,100000,12611,12386,79524966,76712691,123761288,820
37,25000,500,20,100000,12571,12429,79021306,77246235,105260058,1189
38,25000,500,20,100000,12491,12508,78018786,78231286,105014244,824
39,25000,500,20,100000,12514,12483,78306355,77918886,99541836,823
40,30000,500,20,100000,14961,15036,111923241,113048166,984917213,990
41,30000,500,20,100000,14811,15185,109690266,115299705,1019844255,1004
42,30000,500,20,100000,14850,15147,110268675,114723378,1000572424,994
43,30000,500,20,100000,14935,15061,111534580,113424391,978322980,992
44,30000,500,20,100000,15002,14995,112537503,112432510,987509762,988
45,30000,500,20,100000,14943,15057,111654096,113364153,1010379346,998
46,30000,500,20,100000,14981,15017,112222671,112762653,976042257,992
47,30000,500,20,100000,14995,15000,112432510,112507500,983884894,989
48,30000,500,20,100000,14981,15015,112222671,112732620,977846678,988
49,30000,500,20,100000,14982,15015,112237653,112732620,996943822,999
50,35000,500,20,100000,17700,17297,156653850,149601753,1859316200,1151
51,35000,500,20,100000,17483,17513,152836386,153361341,1854109829,1243
52,35000,500,20,100000,17530,17468,153659215,152574246,1863956863,1154
53,35000,500,20,100000,17425,17574,151824025,154431525,1864951547,1171
54,35000,500,20,100000,17384,17616,151110420,155170536,1875121423,1175
55,35000,500,20,100000,17453,17544,152312331,153904740,1865119391,1235
56,35000,500,20,100000,17588,17406,154677666,151493121,1853480704,1522
57,35000,500,20,100000,17649,17351,155752425,150537276,1862217674,1150
58,35000,500,20,100000,17419,17576,151719490,154466676,1872407757,1317
59,35000,500,20,100000,17563,17436,154238266,152015766,1859228685,1249
60,40000,500,20,100000,20011,19984,200230066,199690120,-1563585445,1331
61,40000,500,20,100000,19898,20096,197975151,201934656,-1544358676,1349
62,40000,500,20,100000,20105,19889,202115565,197796105,-1570248420,1321
63,40000,500,20,100000,20187,19811,203767578,196247766,-1529555441,1324
64,40000,500,20,100000,20131,19868,202638646,197378646,-1540043310,1367
65,40000,500,20,100000,20036,19961,200730666,199230741,-1566587841,1322
66,40000,500,20,100000,20024,19973,200490300,199470351,-1548557876,1323
67,40000,500,20,100000,20024,19973,200490300,199470351,-1547784922,1326
68,40000,500,20,100000,19999,19999,199990000,199990000,-1565206602,1330
69,40000,500,20,100000,19992,20001,199850028,200030001,-1558640222,1329
70,45000,500,20,100000,22507,22490,253293778,252911295,-689683003,1478
71,45000,500,20,100000,22384,22614,250532920,255707805,-659327913,1499
72,45000,500,20,100000,22484,22509,252776370,253338795,-648300920,1499
73,45000,500,20,100000,22579,22414,254916910,251204905,-658065281,1529
74,45000,500,20,100000,22393,22603,250734421,255459106,-650891651,1495
75,45000,500,20,100000,22211,22785,246675366,259589505,-619321766,1501
76,45000,500,20,100000,22556,22441,254397846,251810461,-667867242,1483
77,45000,500,20,100000,22503,22492,253203756,252956278,-680693553,1498
78,45000,500,20,100000,22646,22353,256431981,249839481,-676111561,1492
79,45000,500,20,100000,22437,22559,251720703,254465520,-681587406,1487
80,50000,500,20,100000,24816,25180,307929336,317028790,240725137,1666
81,50000,500,20,100000,25022,24975,313062753,311887800,192874826,1646
82,50000,500,20,100000,25063,24932,314089516,310814778,225107551,1646
83,50000,500,20,100000,25001,24992,312537501,312312528,217602312,1656
