test_number,num,cap,refill,K,num_neg,num_pos,sum_neg,sum_pos,total_fun,running_time
0,60000,100,20,100000,29773,30221,443230651,456669531,-794203180,1456
1,60000,100,20,100000,30126,29865,453803001,445974045,-865500490,1447
2,60000,100,20,100000,29780,30212,443439090,456397578,-805014507,1496
3,60000,100,20,100000,29888,30104,446661216,453140460,-829980884,1454
4,60000,100,20,100000,30018,29976,450555171,449295276,-841405192,1448
5,60000,100,20,100000,29890,30100,446720995,453020050,-805313732,1457
6,60000,100,20,100000,29881,30113,446452021,453411441,-825321059,1452
7,60000,100,20,100000,29987,30002,449625078,450075003,-798126858,1456
8,60000,100,20,100000,30049,29945,451486225,448366485,-817605776,1449
9,60000,100,20,100000,29991,30004,449745036,450135010,-823410810,1450
10,60000,150,20,100000,29856,30139,445705296,454194730,253256938,1565
11,60000,150,20,100000,30152,29839,454586628,445197880,196614873,1557
12,60000,150,20,100000,30089,29904,452689005,447139560,243077789,1558
13,60000,150,20,100000,30038,29955,451155741,448665990,228179381,1564
14,60000,150,20,100000,30049,29945,451486225,448366485,231752908,1566
15,60000,150,20,100000,29966,30030,448995561,450915465,210502970,1565
16,60000,150,20,100000,29924,30069,447737850,452087415,210258537,1567
17,60000,150,20,100000,30080,29918,452418240,447558321,208047036,1563
18,60000,150,20,100000,29850,30140,445526175,454224870,253723503,1589
19,60000,150,20,100000,30024,29971,450735300,449145406,225450653,1563
20,60000,200,20,100000,29937,30058,448126953,451756711,844895326,1694
21,60000,200,20,100000,29854,30142,445645585,454285153,802446036,1696
22,60000,200,20,100000,29805,30190,444183915,455733145,876680403,1707
23,60000,200,20,100000,29811,30185,444362766,455582205,782667209,1701
24,60000,200,20,100000,29779,30218,443409310,456578871,818846116,1700
25,60000,200,20,100000,29932,30061,447977278,451846891,784477643,1703
26,60000,200,20,100000,30070,29927,452117485,447827628,807244672,1706
27,60000,200,20,100000,29966,30025,448995561,450765325,811467214,1709
28,60000,200,20,100000,30055,29938,451666540,448156891,814686890,1691
29,60000,200,20,100000,30043,29948,451305946,448456326,806244238,1701
30,60000,250,20,100000,30003,29989,450105006,449685055,1188454999,1792
31,60000,250,20,100000,30062,29933,451876953,448007211,1221296901,1786
32,60000,250,20,100000,29989,30004,449685055,450135010,1176994981,1911
33,60000,250,20,100000,29982,30012,449475153,450375078,1212455590,1796
34,60000,250,20,100000,30104,29894,453140460,446840565,1183227015,1785
35,60000,250,20,100000,29945,30050,448366485,451516275,1203432406,1785
