test_number,num,cap,refill,K,num_neg,num_pos,sum_neg,sum_pos,total_fun,running_time
0,60000,600,20,100000,30275,29718,458302950,441594621,2112473402,2026
1,60000,600,20,100000,29884,30103,446541670,453110356,2111565905,2029
2,60000,600,20,100000,30004,29991,450135010,449745036,2121225570,2014
3,60000,600,20,100000,30075,29921,452267850,447648081,2106207879,2095
4,60000,600,20,100000,30253,29738,457637131,442189191,2091715373,2072
5,60000,600,20,100000,30067,29928,452027278,447857556,2118675353,2104
6,60000,600,20,100000,30213,29782,456427791,443498653,2105737090,2047
7,60000,600,20,100000,30342,29648,460333653,439516776,2069198844,2022
8,60000,600,20,100000,30024,29968,450735300,449055496,2093585652,2022
9,60000,600,20,100000,30003,29985,450105006,449565105,2105436877,2097
10,60000,600,40,100000,30151,29847,454556476,445436628,-952970909,1813
11,60000,600,40,100000,30051,29946,451546326,448396431,-928973777,1811
12,60000,600,40,100000,30157,29836,454737403,445108366,-960144490,2002
13,60000,600,40,100000,30046,29952,451396081,448576128,-1050211569,1813
14,60000,600,40,100000,30213,29782,456427791,443498653,-987177773,1865
15,60000,600,40,100000,29852,30145,445585878,454375585,-912845458,1836
16,60000,600,40,100000,30077,29916,452328003,447498486,-970583387,1825
17,60000,600,40,100000,29956,30036,448695946,451095666,-897810831,1852
18,60000,600,40,100000,30010,29986,450315055,449595091,-970648003,1823
19,60000,600,40,100000,30092,29898,452779278,446960151,-946458966,1816
20,60000,600,60,100000,29991,30001,449745036,450045001,-909307109,1693
21,60000,600,60,100000,30081,29913,452448321,447408741,-1045982489,1705
22,60000,600,60,100000,30075,29920,452267850,447618160,-986874129,1685
23,60000,600,60,100000,30140,29856,454224870,445705296,-1045267868,1699
24,60000,600,60,100000,29833,30164,445018861,454948530,-1020451074,1739
25,60000,600,60,100000,30067,29926,452027278,447797701,-1110993277,1699
26,60000,600,60,100000,30027,29964,450825378,448935630,-1100790395,1695
27,60000,600,60,100000,29855,30136,445675440,454104316,-1031771517,1713
28,60000,600,60,100000,30178,29817,455370931,444541653,-1202356709,1682
29,60000,600,60,100000,29935,30062,448067080,451876953,-978082353,1700
30,60000,600,80,100000,29828,30169,444869706,455099365,2098682709,1565
31,60000,600,80,100000,30115,29881,453471670,446452021,1776899894,1552
32,60000,600,80,100000,29872,30125,446183128,453772875,2092957759,1557
33,60000,600,80,100000,29880,30114,446422140,453441555,2039361460,1560
34,60000,600,80,100000,30067,29929,452027278,447887485,1937677312,1553
35,60000,600,80,100000,30123,29865,453712626,445974045,1917855626,1567
36,60000,600,80,100000,30050,29944,451516275,448336540,2054885510,1559
37,60000,600,80,100000,30100,29894,453020050,446840565,1936320024,1574
38,60000,600,80,100000,30009,29987,450285045,449625078,-2131297526,1557
39,60000,600,80,100000,30064,29932,451937080,447977278,2070600621,1600
40,60000,600,100,100000,30030,29969,450915465,449085465,-465420529,1526
41,60000,600,100,100000,30068,29930,452057346,447917415,-609032435,1507
42,60000,600,100,100000,29957,30038,448725903,451155741,-376358909,1509
43,60000,600,100,100000,29834,30155,445048695,454677090,-107341310,1521
44,60000,600,100,100000,29722,30274,441713503,458272675,-225279695,1516
45,60000,600,100,100000,29810,30180,444332955,455431290,-366044571,1565
46,60000,600,100,100000,30202,29791,456095503,443766736,-418801083,1505
47,60000,600,100,100000,30006,29984,450195021,449535120,114774761,1504
48,60000,600,100,100000,30084,29911,452538570,447348916,-220058858,1511
49,60000,600,100,100000,30034,29964,451035595,448935630,-151681961,1502
50,60000,600,120,100000,30086,29908,452598741,447259186,836687604,1440
51,60000,600,120,100000,30122,29869,453682503,446093515,704681088,1445
52,60000,600,120,100000,30147,29847,454435878,445436628,519086744,1437
53,60000,600,120,100000,30062,29929,451876953,447887485,779434132,1440
54,60000,600,120,100000,29832,30163,444989028,454918366,1050090017,1445
55,60000,600,120,100000,29961,30033,448845741,451005561,1078517656,1443
56,60000,600,120,100000,30122,29872,453682503,446183128,597242173,1514
57,60000,600,120,100000,29755,30241,442694890,457274161,1213905261,1476
58,60000,600,120,100000,29912,30081,447378828,452448321,870307683,1444
59,60000,600,120,100000,29915,30081,447468570,452448321,849006789,1449
60,60000,600,140,100000,30171,29823,455159706,444720576,873710789,1377
61,60000,600,140,100000,30249,29742,457516125,442308153,800361554,1377
62,60000,600,140,100000,30075,29920,452267850,447618160,1145022223,1381
63,60000,600,140,100000,30081,29911,452448321,447348916,900843719,1379
64,60000,600,140,100000,29810,30183,444332955,455521836,1061461891,1388
65,60000,600,140,100000,30226,29769,456820651,443111565,508645285,1395
66,60000,600,140,100000,29996,30002,449895006,450075003,1029052960,1389
67,60000,600,140,100000,29876,30118,446302626,453562021,1507427647,1471
68,60000,600,140,100000,30091,29905,452749186,447169465,927618320,1379
69,60000,600,140,100000,30186,29808,455612391,444273336,948549769,1379
70,60000,600,160,100000,30065,29929,451967145,447887485,625711893,1300
71,60000,600,160,100000,29940,30056,448216770,451696596,861011878,1301
72,60000,600,160,100000,29864,30130,445944180,453923515,892534347,1300
73,60000,600,160,100000,29871,30121,446153256,453652381,463566753,1352
74,60000,600,160,100000,29862,30133,445884453,454013911,1132322758,1301
75,60000,600,160,100000,29890,30103,446720995,453110356,811511613,1303
76,60000,600,160,100000,29953,30042,448606081,451275903,828434773,1299
77,60000,600,160,100000,30196,29797,455914306,443945503,803975466,1293
78,60000,600,160,100000,29905,30090,447169465,452719095,1018056681,1304
79,60000,600,160,100000,29960,30036,448815780,451095666,664558498,1357
80,60000,600,180,100000,29929,30069,447887485,452087415,116983196,1298
81,60000,600,180,100000,30021,29968,450645231,449055496,-353183188,1338
82,60000,600,180,100000,30011,29980,450345066,449415190,-13110865,1298
83,60000,600,180,100000,30083,29908,452508486,447259186,-160071906,1294
84,60000,600,180,100000,29940,30056,448216770,451696596,-123544620,1324
85,60000,600,180,100000,29941,30056,448246711,451696596,-8055141,1299
86,60000,600,180,100000,30044,29952,451335990,448576128,-114464395,1308
87,60000,600,180,100000,29911,30085,447348916,452568655,213307729,1300
88,60000,600,180,100000,30052,29940,451576378,448216770,-188058684,1298
89,60000,600,180,100000,29997,30000,449925003,450015000,-87527600,1317
90,60000,600,200,100000,29948,30047,448456326,451426128,-768459012,1299
91,60000,600,200,100000,29880,30114,446422140,453441555,-869098955,1302
92,60000,600,200,100000,30188,29804,455672766,444154110,-1551613403,1293
93,60000,600,200,100000,29826,30168,444810051,455069196,-368676537,1448
94,60000,600,200,100000,30004,29987,450135010,449625078,-813912884,1299
95,60000,600,200,100000,29876,30119,446302626,453592140,-499781465,1304
96,60000,600,200,100000,29977,30019,449325253,450585190,-938558202,1300
97,60000,600,200,100000,29915,30080,447468570,452418240,-773770824,1299
98,60000,600,200,100000,30087,29906,452628828,447199371,-773040798,1303
99,60000,600,200,100000,30107,29888,453230778,446661216,-985508693,1295
100,60000,600,220,100000,29882,30111,446481903,453351216,1366691612,1212
101,60000,600,220,100000,30062,29930,451876953,447917415,1654838810,1207
102,60000,600,220,100000,30011,29980,450345066,449415190,1236534819,1220
103,60000,600,220,100000,30254,29740,457667385,442248670,885485517,1243
104,60000,600,220,100000,29940,30054,448216770,451636485,1456176231,1215
105,60000,600,220,100000,29947,30049,448426378,451486225,1491830076,1211
106,60000,600,220,100000,30326,29671,459848301,440198956,662203778,1198
107,60000,600,220,100000,30048,29946,451456176,448396431,1130607494,1255
108,60000,600,220,100000,30125,29870,453772875,446123385,1248317051,1205
109,60000,600,220,100000,30056,29943,451696596,448306596,1169467775,1211
110,60000,600,240,100000,29969,30027,449085465,450825378,-805413536,1213
111,60000,600,240,100000,30098,29896,452959851,446900356,-1203358275,1206
112,60000,600,240,100000,30121,29876,453652381,446302626,-1240890737,1204
113,60000,600,240,100000,30255,29738,457697640,442189191,-1361632477,1207
